record_id,governorate,city,region,year,month,date,latitude,longitude,utm32_easting,utm32_northing,population_density,urban_index,temperature_c,rainfall_mm,humidity_pct,ndvi_score,drought_pressure_score,electricity_pressure_score,tourism_pressure_score,observed_index,data_nature,observed_lag_1,observed_lag_2,observed_lag_3,observed_lag_6,observed_lag_12,rolling_mean_3,rolling_mean_6,target_stage1_tabular_score,target_stage2_lstm_score,lstm_tourism_next_3m
EX23_Ariana_2020_01,Ariana,Ariana,Nord-Est,2020,1,2020-01-15,36.872196,10.165014,603833.63,4081328.31,1800,86.0,12.3,109.18,89.28,74.95,12.29,77.29,58.13,61.61,données du projet,66.51,66.45,80.32,96.48,65.45,71.09333333333335,80.75,66.65,60.89,60.89
EX23_Ariana_2020_02,Ariana,Ariana,Nord-Est,2020,2,2020-02-15,36.837007,10.178491,605083.0,4077439.21,1800,86.0,15.8,93.83,89.94,62.84,18.1,78.18,64.73,63.13,données du projet,61.61,66.51,66.45,92.22,63.58,64.85666666666667,74.93833333333333,66.99,61.11,61.11
EX23_Ariana_2020_03,Ariana,Ariana,Nord-Est,2020,3,2020-03-15,36.905754,10.159519,603298.58,4085045.12,1800,86.0,18.29,65.94,81.41,74.62,35.13,81.86,53.84,58.62,données du projet,63.13,61.61,66.51,82.52,56.07,63.75,70.08999999999999,66.93,73.26,73.26
EX23_Ariana_2020_04,Ariana,Ariana,Nord-Est,2020,4,2020-04-15,36.858376,10.152472,602734.29,4079781.54,1800,86.0,21.51,62.38,71.97,53.45,33.03,87.56,67.84,65.99,données du projet,58.62,63.13,61.61,80.32,69.15,61.120000000000005,66.10666666666667,68.08,77.98,77.98
EX23_Ariana_2020_05,Ariana,Ariana,Nord-Est,2020,5,2020-05-15,36.888282,10.155757,602986.93,4083102.84,1800,86.0,26.74,43.59,75.63,60.51,55.68,98.18,63.69,67.23,données du projet,65.99,58.62,63.13,66.45,67.34,62.580000000000005,63.718333333333334,81.83,91.46,91.46
EX23_Ariana_2020_06,Ariana,Ariana,Nord-Est,2020,6,2020-06-15,36.83535,10.166753,604038.53,4077242.57,1800,86.0,28.66,5.41,61.06,47.89,86.42,98.75,85.83,77.44,données du projet,67.23,65.99,58.62,66.51,84.87,63.94666666666668,63.848333333333336,95.46,89.46,89.46
EX23_Ariana_2020_07,Ariana,Ariana,Nord-Est,2020,7,2020-07-15,36.890162,10.232222,609798.16,4083396.56,1800,86.0,29.93,31.16,57.66,44.76,89.02,100.0,93.04,90.96,données du projet,77.44,67.23,65.99,61.61,96.48,70.22000000000001,65.67,79.18,90.15,90.15
EX23_Ariana_2020_08,Ariana,Ariana,Nord-Est,2020,8,2020-08-15,36.900574,10.142995,601833.36,4084452.73,1800,86.0,31.42,10.25,60.07,53.05,91.3,88.85,100.0,100.0,données du projet,90.96,77.44,67.23,63.13,92.22,78.54333333333334,70.56166666666667,100.0,72.64,72.64
EX23_Ariana_2020_09,Ariana,Ariana,Nord-Est,2020,9,2020-09-15,36.88483,10.115387,599394.04,4082677.05,1800,86.0,23.82,32.99,66.26,58.4,64.52,91.33,80.57,90.28,données du projet,100.0,90.96,77.44,58.62,82.52,89.46666666666665,76.70666666666666,78.27,72.43,72.43
EX23_Ariana_2020_10,Ariana,Ariana,Nord-Est,2020,10,2020-10-15,36.831094,10.186917,605842.48,4076792.6,1800,86.0,19.57,64.88,80.3,62.66,52.88,87.86,68.06,73.27,données du projet,90.28,100.0,90.96,65.99,80.32,93.74666666666667,81.98333333333333,78.4,70.37,70.37
EX23_Ariana_2020_11,Ariana,Ariana,Nord-Est,2020,11,2020-11-15,36.819673,10.184026,605600.37,4075522.4,1800,86.0,15.16,100.26,87.92,62.46,33.73,93.29,56.91,64.97,données du projet,73.27,90.28,100.0,67.23,66.45,87.85000000000001,83.19666666666667,66.66,64.66,64.66
EX23_Ariana_2020_12,Ariana,Ariana,Nord-Est,2020,12,2020-12-15,36.858053,10.175373,604776.25,4079770.59,1800,86.0,13.13,93.26,87.0,71.43,6.63,86.18,69.82,67.46,données du projet,64.97,73.27,90.28,77.44,66.51,76.17333333333335,82.82,71.51,70.1,70.1
EX23_Ariana_2021_01,Ariana,Ariana,Nord-Est,2021,1,2021-01-15,36.85818,10.190864,606157.0,4079801.82,1800,86.0,11.86,100.68,94.13,76.36,5.33,88.86,67.58,67.13,données du projet,67.46,64.97,73.27,90.96,61.61,68.56666666666666,81.15666666666665,61.27,69.09,69.09
EX23_Ariana_2021_02,Ariana,Ariana,Nord-Est,2021,2,2021-02-15,36.881785,10.157216,603125.7,4082383.56,1800,86.0,13.49,115.52,83.59,77.61,2.56,75.1,61.27,64.83,données du projet,67.13,67.46,64.97,100.0,63.13,66.52,77.185,61.29,69.89,69.89
EX23_Ariana_2021_03,Ariana,Ariana,Nord-Est,2021,3,2021-03-15,36.84747,10.188985,606004.33,4078611.58,1800,86.0,18.23,75.09,87.09,68.38,35.13,79.42,64.4,65.18,données du projet,64.83,67.13,67.46,90.28,58.62,66.47333333333334,71.32333333333334,75.26,72.41,72.41
EX23_Ariana_2021_04,Ariana,Ariana,Nord-Est,2021,4,2021-04-15,36.863466,10.167786,604092.55,4080362.78,1800,86.0,24.96,52.79,69.75,63.27,43.87,83.53,77.61,72.93,données du projet,65.18,64.83,67.13,73.27,65.99,65.71333333333335,67.14,61.96,78.49,78.49
EX23_Ariana_2021_05,Ariana,Ariana,Nord-Est,2021,5,2021-05-15,36.857533,10.149758,602493.4,4079685.14,1800,86.0,23.62,37.18,68.85,60.78,62.63,88.94,59.12,64.0,données du projet,72.93,65.18,64.83,64.97,67.23,67.64666666666669,67.08333333333333,74.69,83.19,83.19
EX23_Ariana_2021_06,Ariana,Ariana,Nord-Est,2021,6,2021-06-15,36.874388,10.15798,603203.71,4081563.85,1800,86.0,27.49,14.28,55.04,48.16,88.77,99.18,88.25,81.96,données du projet,64.0,72.93,65.18,67.46,77.44,67.37,66.92166666666667,75.92,82.64,82.64
EX23_Ariana_2021_07,Ariana,Ariana,Nord-Est,2021,7,2021-07-15,36.820905,10.195445,606617.17,4075671.73,1800,86.0,35.51,26.87,53.12,46.17,100.0,99.26,72.64,78.61,données du projet,81.96,64.0,72.93,67.13,90.96,72.96333333333334,69.33833333333334,80.74,76.65,76.65
EX23_Ariana_2021_08,Ariana,Ariana,Nord-Est,2021,8,2021-08-15,36.841175,10.196935,606721.89,4077922.1,1800,86.0,31.13,39.68,48.79,40.36,61.04,92.04,86.6,83.88,données du projet,78.61,81.96,64.0,64.83,100.0,74.85666666666667,71.25166666666667,100.0,79.71,79.71
EX23_Ariana_2021_09,Ariana,Ariana,Nord-Est,2021,9,2021-09-15,36.883758,10.107997,598736.82,4082550.49,1800,86.0,26.43,24.87,62.95,54.18,67.1,99.86,93.5,89.12,données du projet,83.88,78.61,81.96,65.18,90.28,81.48333333333333,74.42666666666666,57.16,66.79,66.79
EX23_Ariana_2021_10,Ariana,Ariana,Nord-Est,2021,10,2021-10-15,36.922227,10.135478,601135.04,4086846.86,1800,86.0,20.87,69.81,69.79,71.61,44.79,83.69,63.3,68.46,données du projet,89.12,83.88,78.61,72.93,73.27,83.87,78.41666666666667,82.5,67.04,67.04
EX23_Ariana_2021_11,Ariana,Ariana,Nord-Est,2021,11,2021-11-15,36.800097,10.090493,597282.87,4073251.43,1800,86.0,15.85,110.88,87.9,75.32,28.52,85.3,62.26,66.47,données du projet,68.46,89.12,83.88,64.0,64.97,80.48666666666666,77.67166666666667,68.92,71.54,71.54
EX23_Ariana_2021_12,Ariana,Ariana,Nord-Est,2021,12,2021-12-15,36.85333,10.150139,602533.02,4079219.27,1800,86.0,10.83,101.57,94.85,72.67,22.34,79.99,74.29,72.98,données du projet,66.47,68.46,89.12,81.96,67.46,74.68333333333334,78.08333333333333,54.31,69.54,69.54
EX23_Ariana_2022_01,Ariana,Ariana,Nord-Est,2022,1,2022-01-15,36.867311,10.140122,601621.44,4080759.52,1800,86.0,12.12,96.64,89.75,80.26,10.36,85.95,65.77,65.53,données du projet,72.98,66.47,68.46,78.61,67.13,69.30333333333334,76.58666666666666,80.12,72.72,72.72
EX23_Ariana_2022_02,Ariana,Ariana,Nord-Est,2022,2,2022-02-15,36.894593,10.149916,602458.03,4083796.64,1800,86.0,12.5,92.26,93.97,74.57,30.73,88.68,78.79,76.66,données du projet,65.53,72.98,66.47,83.88,64.83,68.32666666666667,74.40666666666667,46.87,65.66,65.66
EX23_Ariana_2022_03,Ariana,Ariana,Nord-Est,2022,3,2022-03-15,36.879144,10.187408,605820.01,4082123.72,1800,86.0,19.2,71.29,80.5,67.96,45.75,85.63,62.26,65.47,données du projet,76.66,65.53,72.98,89.12,65.18,71.72333333333334,73.20333333333333,66.52,69.59,69.59
EX23_Ariana_2022_04,Ariana,Ariana,Nord-Est,2022,4,2022-04-15,36.849081,10.181582,605342.01,4078782.13,1800,86.0,20.93,64.49,75.25,59.59,44.75,92.84,72.74,70.36,données du projet,65.47,76.66,65.53,68.46,72.93,69.22000000000001,69.26166666666667,81.65,82.15,82.15
EX23_Ariana_2022_05,Ariana,Ariana,Nord-Est,2022,5,2022-05-15,36.888924,10.189771,606017.04,4083211.22,1800,86.0,26.49,43.3,63.92,52.53,58.02,100.0,66.76,68.47,données du projet,70.36,65.47,76.66,66.47,64.0,70.83,69.57833333333333,80.01,83.31,83.31
EX23_Ariana_2022_06,Ariana,Ariana,Nord-Est,2022,6,2022-06-15,36.864931,10.209286,607789.79,4080571.35,1800,86.0,28.54,16.79,57.21,54.7,75.61,98.83,92.71,84.66,données du projet,68.47,70.36,65.47,72.98,81.96,68.10000000000001,69.91166666666666,93.14,86.62,86.62
EX23_Ariana_2022_07,Ariana,Ariana,Nord-Est,2022,7,2022-07-15,36.948462,10.127,600345.47,4089748.43,1800,86.0,35.08,0.0,50.91,45.25,93.78,100.0,86.51,86.94,données du projet,84.66,68.47,70.36,65.53,78.61,74.49666666666667,71.85833333333333,83.12,86.7,86.7
EX23_Ariana_2022_08,Ariana,Ariana,Nord-Est,2022,8,2022-08-15,36.865975,10.193511,606382.17,4080669.55,1800,86.0,32.89,21.64,47.77,41.91,86.36,96.32,84.61,86.88,données du projet,86.94,84.66,68.47,76.66,83.88,80.02333333333333,75.42666666666666,84.82,81.45,81.45
EX23_Ariana_2022_09,Ariana,Ariana,Nord-Est,2022,9,2022-09-15,36.872381,10.161006,603476.15,4081344.44,1800,86.0,27.04,30.62,64.96,61.37,72.78,83.66,100.0,93.68,données du projet,86.88,86.94,84.66,65.47,89.12,86.16000000000001,77.13,97.28,72.51,72.51
EX23_Ariana_2022_10,Ariana,Ariana,Nord-Est,2022,10,2022-10-15,36.868777,10.142766,601855.16,4080925.07,1800,86.0,19.31,61.42,73.2,65.39,39.92,99.63,69.96,75.23,données du projet,93.68,86.88,86.94,70.36,68.46,89.16666666666667,81.83166666666666,67.24,73.23,73.23
EX23_Ariana_2022_11,Ariana,Ariana,Nord-Est,2022,11,2022-11-15,36.862345,10.194591,606483.49,4080268.0,1800,86.0,13.65,91.67,82.83,78.81,18.8,84.73,61.5,67.03,données du projet,75.23,93.68,86.88,68.47,66.47,85.26333333333334,82.64333333333333,75.03,73.55,73.55
EX23_Ariana_2022_12,Ariana,Ariana,Nord-Est,2022,12,2022-12-15,36.849074,10.202756,607229.84,4078804.87,1800,86.0,12.23,100.74,91.66,67.31,3.13,82.05,74.14,75.24,données du projet,67.03,75.23,93.68,84.66,72.98,78.64666666666666,82.40333333333334,64.25,68.57,68.57
EX23_Ariana_2023_01,Ariana,Ariana,Nord-Est,2023,1,2023-01-15,36.959675,10.190677,605999.78,4091061.28,1800,86.0,14.86,94.6,87.39,76.11,14.32,80.09,65.68,66.46,données du projet,75.24,67.03,75.23,86.94,65.53,72.5,80.83333333333333,69.59,64.37,64.37
EX23_Ariana_2023_02,Ariana,Ariana,Nord-Est,2023,2,2023-02-15,36.811942,10.141488,601816.65,4074618.62,1800,86.0,14.2,100.95,86.22,81.5,17.1,97.45,69.95,68.89,données du projet,66.46,75.24,67.03,86.88,76.66,69.57666666666667,77.42,79.18,70.83,70.83
EX23_Ariana_2023_03,Ariana,Ariana,Nord-Est,2023,3,2023-03-15,36.903858,10.130629,600727.24,4084803.97,1800,86.0,17.82,64.92,79.84,70.6,36.14,83.73,77.83,76.73,données du projet,68.89,66.46,75.24,93.68,65.47,70.19666666666667,74.42166666666667,73.71,71.12,71.12
EX23_Ariana_2023_04,Ariana,Ariana,Nord-Est,2023,4,2023-04-15,36.88345,10.154241,602858.33,4082565.1,1800,86.0,22.55,56.66,80.43,49.92,40.7,96.2,70.48,71.49,données du projet,76.73,68.89,66.46,75.23,70.36,70.69333333333334,71.59666666666668,57.89,77.09,77.09
EX23_Ariana_2023_05,Ariana,Ariana,Nord-Est,2023,5,2023-05-15,36.820443,10.191756,606288.73,4075616.39,1800,86.0,25.79,33.99,63.81,51.38,67.49,100.0,65.79,68.05,données du projet,71.49,76.73,68.89,67.03,68.47,72.37,70.97333333333334,87.74,83.02,83.02
EX23_Ariana_2023_06,Ariana,Ariana,Nord-Est,2023,6,2023-06-15,36.859462,10.111835,599110.22,4079859.09,1800,86.0,29.13,19.39,64.33,48.61,84.84,100.0,80.46,77.24,données du projet,68.05,71.49,76.73,75.24,84.66,72.09000000000002,71.14333333333333,96.81,78.53,78.53
EX23_Ariana_2023_07,Ariana,Ariana,Nord-Est,2023,7,2023-07-15,36.883839,10.14286,601843.59,4082596.08,1800,86.0,31.86,11.46,55.49,46.37,94.66,96.09,87.41,83.09,données du projet,77.24,68.05,71.49,66.46,86.94,72.26,71.47666666666667,86.92,76.33,76.33
EX23_Ariana_2023_08,Ariana,Ariana,Nord-Est,2023,8,2023-08-15,36.881372,10.163336,603671.69,4082344.4,1800,86.0,30.93,4.36,54.0,45.98,85.14,100.0,88.56,86.45,données du projet,83.09,77.24,68.05,68.89,86.88,76.12666666666668,74.24833333333333,67.63,69.75,69.75
EX23_Ariana_2023_09,Ariana,Ariana,Nord-Est,2023,9,2023-09-15,36.869852,10.169973,604278.82,4081073.69,1800,86.0,25.37,42.03,69.24,52.0,66.74,80.41,78.5,79.59,données du projet,86.45,83.09,77.24,76.73,93.68,82.26,77.175,69.05,65.88,65.88
EX23_Ariana_2023_10,Ariana,Ariana,Nord-Est,2023,10,2023-10-15,36.852512,10.141987,601807.33,4079119.81,1800,86.0,18.46,63.91,73.09,63.29,35.11,84.43,55.17,61.23,données du projet,79.59,86.45,83.09,71.49,75.23,83.04333333333334,77.65166666666666,61.58,67.21,67.21
EX23_Ariana_2023_11,Ariana,Ariana,Nord-Est,2023,11,2023-11-15,36.907606,10.153036,602718.57,4085243.62,1800,86.0,16.55,85.28,85.86,69.73,27.24,84.72,63.15,63.81,données du projet,61.23,79.59,86.45,68.05,67.03,75.75666666666667,75.94166666666666,77.55,71.34,71.34
EX23_Ariana_2023_12,Ariana,Ariana,Nord-Est,2023,12,2023-12-15,36.898702,10.127081,600417.9,4084228.24,1800,86.0,13.1,94.32,86.94,85.7,26.56,85.98,72.26,68.86,données du projet,63.81,61.23,79.59,77.24,75.24,68.21000000000001,75.235,55.37,63.42,63.42
EX23_Ariana_2024_01,Ariana,Ariana,Nord-Est,2024,1,2024-01-15,36.825147,10.177166,604981.0,4076122.03,1800,86.0,10.96,95.13,94.33,77.52,16.21,79.9,69.41,66.98,données du projet,68.86,63.81,61.23,83.09,66.46,64.63333333333334,73.83833333333332,56.06,57.53,57.53
EX23_Ariana_2024_02,Ariana,Ariana,Nord-Est,2024,2,2024-02-15,36.839757,10.196868,606717.9,4077764.71,1800,86.0,14.68,99.9,87.01,71.6,28.71,91.14,63.19,65.75,données du projet,66.98,68.86,63.81,86.45,68.89,66.55000000000001,71.15333333333332,73.8,64.39,64.39
EX23_Ariana_2024_03,Ariana,Ariana,Nord-Est,2024,3,2024-03-15,36.843176,10.182342,605417.96,4078127.88,1800,86.0,16.81,65.09,84.59,69.22,32.89,86.08,65.21,66.38,données du projet,65.75,66.98,68.86,79.59,76.73,67.19666666666667,67.70333333333333,70.86,64.23,64.23
EX23_Ariana_2024_04,Ariana,Ariana,Nord-Est,2024,4,2024-04-15,36.877591,10.157927,603194.74,4081919.16,1800,86.0,24.86,47.94,72.34,58.75,55.07,90.09,56.29,62.71,données du projet,66.38,65.75,66.98,61.23,71.49,66.37,65.50166666666667,57.5,76.44,76.44
